2024-06-19	22:27:40	3875b80e-8650-40d9-a45e-f0b63f901c0e	GET	/	undefined
2024-06-20	19:40:11	d6ba9a41-cf4e-4266-b627-bbe3d2d9cdf4	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:40:11	bdf4cec4-2080-45b8-accc-f10f287a575d	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:41:20	225d6dae-951b-48ff-9188-63b24d24fcf2	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:41:20	703c3a56-4563-4e84-8691-7b700e266d51	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:41:55	a3929472-05d8-47cb-b736-276a2469f866	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:41:55	cdd73a1f-33bc-4b9e-9d76-997a83602778	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:42:07	97b9f551-7597-4dbf-87e5-87f96ed8011f	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:42:07	74d875ed-5e31-4456-9f1b-65f91fd836cf	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:44:59	44ba483d-a85b-44cf-bf5a-32cbb58fa5e5	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:44:59	84f6cf78-a7d6-4f94-aa15-3bc8edb33e4c	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:01:45	7fb4de22-0fb0-4006-beb0-fbf1cbb926fc	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:01:45	a608f143-e132-4bd4-8ce4-d8bdc0958f40	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:02:24	078b6734-c2be-4898-9e91-91887dddf7f1	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:02:24	4c369337-8c28-4b8e-b705-692247e3d948	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:03:39	3ebce03e-6578-4a82-a389-02ba4951cc79	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:03:39	53c94eeb-3529-498b-b5ed-24675c2e6277	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:28:35	a51f309b-1836-40b4-9936-f44eea6a02d6	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:28:35	34fe9a77-7049-4e7f-8cd0-a26865e4052f	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:31:21	44759056-6d6e-4c08-abc5-08701e80fa89	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:31:21	a1361db4-b884-45d3-b7bc-365dbbbe9e1b	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:32:26	b405d30a-0e11-420d-ad49-899fbccf1a58	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:32:26	edcb39a2-d880-45d7-b321-70028ded5c5b	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:33:22	9b16169f-a2d0-4027-b7eb-1c5790f33b81	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:33:22	1b025759-d029-4f4f-b39d-552c41bc05f7	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:34:13	42786a6e-0152-4367-9034-08bb9a78a5cc	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:34:13	441e09b7-f7a8-44c5-93ca-3dfce31b1e5b	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:35:14	773c82b5-0696-4ca2-a464-405a7b57da87	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:35:14	9a9a5dde-ea19-4e31-9dae-2977d1d6bcb0	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:41:05	6ec22686-81d0-4127-9d41-1980678405fa	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:41:05	c9c9a5c1-39ad-468b-aefd-cf3bada9351e	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:44:28	a182cb33-98d4-46f6-bf3b-cc72d94cabcc	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:44:28	c0d94b80-b342-4fc6-87fc-509eabb95e23	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:46:09	89d1d852-fd2c-410d-a683-e3b845c39aa6	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:46:09	8ef84572-0e75-4a7e-b63c-6255cb15abce	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:47:18	422af4eb-1c5f-4770-b12c-259566d5cd24	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:47:18	227ea4be-f920-4370-b3ff-45427d18bdbc	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:47:38	944cc6b0-22bc-46f8-b0a7-b2296bd4627d	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:47:38	ddc85ff7-7c2d-4ca6-a8a3-c8a1914f7484	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:48:46	f3c9b2be-d7e5-4b68-9aea-e70f2867574a	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:48:46	9cc5c544-e7d6-4238-8397-9b9d45a26b08	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	20:52:18	a310cb94-1a96-486c-b72f-7315824a49f8	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	20:52:18	8652794a-4b51-4ae3-bb16-1047271197e6	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	f431baa2-158d-44c5-b65d-05225a927f88	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	f1bd5467-f869-4b62-914c-e5f849315f73	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	e12215e1-30e7-4ff1-9554-44690e1112e1	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	e9d33c39-8cd5-46b7-b768-57c4009ece12	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	131c7c2f-479c-4281-aa26-980410a5b9e0	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	6e6661d7-9cc6-4584-a0a3-49e7070e4ce3	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	896a09d4-286f-4c14-be5e-9623a0a5d31b	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:14:31	5b81ba4a-ba16-4b5a-8089-2f5d7c3afbd0	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:15:09	cca51d72-0cd0-4d98-9a0e-caf5be42d863	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:15:09	261b06d8-9d8d-410f-a1b9-97ad2763a694	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	21:15:33	1422bc1c-e98a-4768-90c7-68bba8012986	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:15:33	ab3bec9d-f9aa-4612-8624-67f019f86980	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:17:04	ced46bc4-69bb-4eda-9b05-376c57a2bc66	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:17:04	8fd2e306-8665-4180-8334-f36667077b09	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:17:41	d83571e9-53e6-4acf-b12a-e9b484a3c220	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:17:41	263b7ba9-a047-4309-a741-213e31d7fc29	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:18:30	477c014a-f308-4ba9-b078-187d06c9acbe	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:18:30	ab0ad366-9949-4b19-b8fb-014fee00dd62	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:18:38	709dc2ac-304b-46cf-9263-1a3afa7be038	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:18:38	131ab377-40b9-46f8-a6e9-f53ab46dee36	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:19:34	101b4947-3167-4ce5-a29f-6ef27cc2abfb	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:19:34	c1b29e67-373a-49cb-b3b3-87da11de0998	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:23:57	4363e023-16e8-40e0-85c8-d50951bf5417	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:23:57	3a79ae9d-7273-4b55-839c-44a38125d5df	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:24:07	4129f7a5-de54-4981-a2ee-687d900144bd	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:24:07	e4e01e78-d8f5-4b5c-abe2-00ea11b3eea4	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:14	656e87fc-a2ca-41f0-bf25-49dd7ed7d4c6	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:14	1ac91348-7d79-49cf-9ce6-daaf6b4cbc5f	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:19	51bdba0a-024f-48fa-9156-bf9a51cd8917	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:19	b0a10033-8266-4861-9eba-5c160ac19b6a	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:50	c7e129ab-581b-4e70-8700-631b73c03413	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:26:50	26a49d2a-379a-407f-9c23-6b4f7899f759	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:27:59	f04cc982-4c0d-45bc-9f59-82e5a5244232	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:27:59	0ee3446a-3f81-4e53-879f-67525072dd3c	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:28:12	3c733830-c00f-4433-8a2b-c0940b7e549b	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:28:12	4e39e89f-1571-4676-aa03-ff39dc74fc05	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:30:33	bfe59957-b9c5-4b00-944f-2749724b3b9f	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:30:33	2a1b3551-d4f0-4cba-9d74-8714ab558c5f	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:30:59	59692977-1cb5-4c7a-b374-57be0ad28cc9	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:30:59	93ccf44e-fd59-401f-a9c5-4bd6d734c8ad	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:31:11	f56c59e4-7572-4b93-be05-78fce8816c35	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:31:11	e1b6de50-8e11-414e-8b12-4109e4a481d0	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:32:29	e28f526f-4bd8-4867-9eb4-0f5bf3834dac	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:32:29	dbb83d1e-9051-4d7e-a707-14381b2505ca	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:39:02	fb9b504e-ddbd-47ce-8559-23745959710d	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:39:02	164ecae2-f312-4bbb-b86d-83949a89e195	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:42:28	821e85bd-b958-4d5f-818a-a99e7bfe781c	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:42:28	9bb95b59-748b-4c8c-a49b-44be87319319	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:44:31	fb15d46e-edb9-47b1-9bc8-7263bd0f10b5	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:44:31	ab360b91-0cda-461d-b659-a2e66a9c6297	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:46:57	b61d2865-b83d-41d1-a74e-a2940eb7fa5e	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:46:57	bc7f747f-8b50-42b5-900d-456f24bbbd80	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:46:57	67e77064-ce98-4c8f-9e73-d0a58aa69c4d	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:46:57	5f248ce0-bd49-42d4-a281-cebf8f97e9d1	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:47:10	e61b8e25-07fe-4a02-ba5e-3c55140eeadc	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:47:10	4cea81ab-1865-4af9-8f56-3af6080e222f	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:47:10	8bfe94fb-fd13-4f33-bad1-e00f29e165cd	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:47:10	240da364-0b3e-44be-a6ab-dd6d0e60fc3a	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:40	5d474d24-3b00-4cd7-96c2-89e733db8990	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:40	070e0f63-859a-4f42-9857-53501b04969d	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:41	67340016-0a68-4041-a43e-0b4da52a7879	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:41	cddb0322-f2f4-4c9a-9112-efb845682b9a	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:50:00	385082ee-2ff7-43a0-b97a-1ac5be23d6cc	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:59	4732726a-95e1-4dc4-9370-8ceca9f4d155	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:49:59	3138c9f8-1384-4cdd-ac17-600eeab3ccc0	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:50:00	27896e48-e666-4bf0-a919-226c9e6e8839	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:12	a0b05eea-b085-4e91-918b-a268f2b7a79e	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:12	3e0517cf-971d-44cf-a109-53489b5c1603	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:12	6475c43c-fcaa-4405-9a86-cc3667dbb166	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:12	3354d457-6d49-49ad-a901-fac83c74deca	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:21	2ea50516-423d-4376-abd3-279fabba0658	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:21	dc39c837-70d4-455e-9c6b-df13636fa5f0	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:21	410bc6fc-6950-44e2-a4e5-3b42e5e36dd8	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:21	e4acdb64-db37-42c7-9aed-65ba53a18a98	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:23	3fc97530-f403-49aa-a152-cb545817c000	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:51:44	5534d8fc-d6a1-4a58-853c-a485a51b0e7d	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:51:44	e20d8e4e-3f40-42b3-af53-a23f9f0f2363	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:51:44	a99a3c29-ea50-4a63-9a06-c1705710b07f	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:44	42eb4767-61a5-40f1-9c92-417b1b1b4ad4	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:51:58	6d9d154a-b8bc-44d7-9b14-8d271ae01955	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:55:17	dc5d2552-a654-41ec-a189-1b530cee2879	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:55:17	7e3b11e3-66b9-4bd7-b318-8f1b25c62d33	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:55:18	3cd13497-9fcf-4688-953e-a99156e41289	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:55:18	1e54b6ec-8745-4c91-8b08-bbf14e2687b2	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:55:21	17453a5d-5f8e-4798-80cf-7e823187e89d	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:57:29	3e141397-044f-468f-ae66-a02c29e2463e	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:57:29	5add0988-2c67-4bbe-a36b-98a727186a9b	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:57:29	156af5a4-3e20-45ef-8a7a-e4c2ee05fc63	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:57:29	1cc4b341-2a09-4ac8-b82b-50bc8bbc0907	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:57:31	5357a784-7ffe-4412-b172-f24d441fbee3	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:58:03	5da9a0b2-175e-4daf-bc7e-92882c203615	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:58:03	e85d042e-ee25-41ed-b9f3-25d10ece5276	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:58:04	3870d3ea-747f-4617-a49b-8cb09795f53d	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:04	764fcc4d-3631-45a8-b0cf-95e5ad10f1db	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:05	a9a49024-92f6-4351-96d0-5e0ea8bc4766	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:58:05	5ca6b48c-4aa8-4b43-a3e8-3441eddc6d51	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:05	f4a4f76d-3169-43a2-a3a2-9ae933d4a1b9	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	22:10:25	3c3f06ee-48da-4283-b0cb-3c4a9fa1500e	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	22:10:25	23ba2a2a-d400-4a7b-93d4-d90d2d652cfc	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	22:11:11	74af22a7-0088-44c6-8062-22e6094a1520	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	22:11:11	9365e6ac-5151-4d59-8846-1b81f9dd7172	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	22:11:11	564269f0-ba12-4add-b3e8-351e11297164	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	22:11:11	0dc7e6e8-424e-4834-a75b-8ddf83e63521	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	22:11:13	503bcd1d-3889-4e03-87d3-48e0540e33c2	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	22:17:20	d958acbc-2527-40c8-8bae-0729e514637f	OPTIONS	/api/students	http://localhost:3000
2024-06-20	22:17:20	3ea76106-0055-49af-8ef6-615551fd1cad	OPTIONS	/api/submissions	http://localhost:3000
2024-06-20	22:17:20	651e28a2-42f7-4a3a-a25d-9c069f654c25	GET	/api/students	http://localhost:3000
2024-06-20	22:17:20	0fd9658c-9d97-4751-9c24-e3150c25a463	GET	/api/submissions	http://localhost:3000
2024-06-20	22:18:41	7542af75-39d6-4122-b063-f7a6523b2c55	OPTIONS	/apiv1//submissions	http://localhost:3000
2024-06-20	22:18:41	b3977069-ba1d-4c00-b0a2-3c742ad6e063	GET	/apiv1//submissions	http://localhost:3000
2024-06-20	22:18:44	9eed512c-4730-4db0-a1fe-5373cdffaf3a	GET	/api/submissions	http://localhost:3000
2024-06-20	22:18:44	3d0651ee-7f24-48e5-b0c9-1e5f331e556e	OPTIONS	/api/submissions	http://localhost:3000
2024-06-20	22:18:48	908e4943-4f56-4f3c-ac99-98ae7b20b3d4	OPTIONS	/api/v1/submissions	http://localhost:3000
2024-06-20	22:18:48	f98f7905-5c7b-4ed4-b0c7-fac0e660c905	GET	/api/v1/submissions	http://localhost:3000
2024-06-20	22:18:56	6d931aaa-68b6-421d-bf0a-9cd11d4a1d1e	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:18:56	56400e58-ab44-43bb-81a4-0b65f889b7f8	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:19:03	217c4a7c-f919-43b4-a31a-179ebe6a8e56	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:19:03	c2011f12-71a1-49bf-a6c7-d5cf8dc3ab41	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:36:52	f11bbca8-76c1-44bc-9b44-e73874b783c1	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:36:52	d9e5948a-f93e-4c10-9f8b-c5938a2df4a9	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:36:59	7fcc992b-6a4b-47c0-bf13-1c14512b76d7	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:36:59	26724f2e-256d-4b1d-a2d9-306b057bdd07	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:37:04	8200aa02-a0db-4b9a-bd8f-db544faebac7	OPTIONS	/api/v1/students	http://localhost:3000
